Suit of Card 1,Suit of Card 2,Suit of Card 3,Suit of Card 4,Suit of Card 5,Rank of Card 1,Rank of Card 2,Rank of Card 3,Rank of Card 4,Rank of Card 5,Poker Hand,Unique Ranks,Unique Suits,Hand Strength,Max Rank Frequency,Fold,Check,Call,Raise,All-In
0,1,0,0,0,3,4,8,8,3,3,3,4,2,2,0.1831507402595421,0.6252726754790502,0.0750164654867025,0.0981287709285318,0.0184313478461733
0,0,0,0,0,11,7,13,6,3,4,5,3,5,1,0.0538882649883079,0.0853878995467012,0.3638296432106109,0.3137976408330457,0.1830965514213342
0,0,1,0,0,6,6,12,9,5,1,4,4,1,2,0.1993016430698389,0.5862258774474007,0.0796826132766473,0.1203322350526902,0.0144576311534227
0,0,1,1,1,4,7,8,2,11,0,5,3,0,1,0.2064887249755426,0.620009521425084,0.0553381237360247,0.08103773354126,0.0371258963220887
0,0,1,0,0,13,5,10,11,3,0,5,3,0,1,0.1778949254623836,0.6427746933844602,0.0567170713975653,0.0838809440623652,0.0387323656932255
0,1,0,0,0,3,11,13,11,12,1,4,3,1,2,0.2279117129741075,0.5650916535117871,0.0559539882850636,0.1275609539084811,0.0234816913205606
1,1,1,0,0,11,11,4,13,11,3,3,2,3,3,0.2257954890501098,0.5753525173144813,0.0745363966688917,0.0952224101504536,0.0290931868160634
0,0,0,0,0,2,3,7,8,13,0,5,3,5,1,0.0625502242922148,0.0968279666981345,0.3332759225261666,0.3086805074588313,0.1986653790246528
0,0,0,0,1,7,11,10,13,3,4,5,4,0,1,0.1793560735914482,0.5907495253544167,0.0736039932550212,0.1251183169917557,0.0311720908073581
0,0,0,0,0,5,7,11,9,7,1,4,3,5,2,0.0435046470481792,0.0983186213441807,0.3235115958571914,0.3377921290937285,0.1968730066567201
1,0,0,1,0,9,2,6,6,3,1,4,3,1,2,0.2296481091476591,0.5442128566213191,0.0599217568819243,0.1373659159754609,0.0288513613736365
0,0,1,0,0,7,12,3,5,7,1,4,3,1,2,0.1935428750811801,0.593858321406682,0.0667949278205494,0.1093613696504434,0.0364425060411449
